date,T,Po,P,Pa,U,Ff,ff10,ff3,Tn,Tx,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
2005-02-01 08:00:00,-13.2,670.6,772.3,18.08,62,1.0,0,5.21,-14.5,-2.3,1750.0,0,0,18.0,-18.9,0,6,0,0,0,0
2005-02-01 14:00:00,-4.2,670.6,771.0,16.0,35,2.0,0,10.73,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,12,0,0,0,0
2005-02-01 20:00:00,-4.4,670.6,768.8,12.47,36,1.0,0,6.7,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,12,0,0,0,0
2005-02-02 02:00:00,-10.0,670.6,767.6,10.55,52,1.0,0,3.72,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,6,0,0,0,0
2005-02-02 08:00:00,-14.1,670.6,765.2,6.71,69,1.0,0,3.77,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,12,0,0,0,0
2005-02-02 20:00:00,-5.0,670.6,766.5,8.79,39,2.0,0,2.83,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,6,0,0,0,0
2005-02-03 02:00:00,-7.9,670.6,766.5,8.79,51,3.0,0,9.26,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,12,0,0,0,0
2005-02-03 08:00:00,-12.3,670.6,766.5,8.79,68,3.0,0,1.37,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,12,0,0,0,0
2005-02-03 14:00:00,-6.1,670.6,766.6,8.95,50,1.0,0,6.12,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,12,0,0,0,0
2005-02-03 20:00:00,-5.6,670.6,765.2,6.71,48,1.0,0,5.23,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,6,0,0,0,0
2005-02-04 02:00:00,-11.5,670.6,767.0,9.59,72,1.0,0,4.51,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,12,0,0,0,0
2005-02-04 08:00:00,-11.2,670.6,766.7,9.11,74,1.0,0,7.35,-14.5,-2.3,1750.0,0,0,18.0,-14.2,0,12,0,0,0,0
2005-02-04 14:00:00,-4.3,670.6,766.3,8.47,46,3.0,0,5.05,-12.8,-2.3,1750.0,0,0,18.0,-14.2,0,12,0,0,0,0
2005-02-04 20:00:00,-4.7,670.6,763.8,4.46,46,1.0,0,3.2,-14.5,-2.3,1750.0,0,0,20.0,-16.9,0,6,0,0,0,0
2005-02-05 02:00:00,-9.5,670.6,765.0,6.39,62,1.0,0,2.27,-14.5,-1.3,1750.0,0,0,20.0,-16.9,0,6,0,0,0,0
